City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Sumbe,-11.21,13.84,76.28,83,100,8.86,AO,1603481567
Vaini,-21.2,-175.2,73.4,83,75,9.17,TO,1603481530
Lebu,-37.62,-73.65,55.58,73,100,6.62,CL,1603481567
Kapaa,22.08,-159.32,79.0,88,75,8.75,US,1603481568
Khatanga,71.97,102.5,7.56,95,100,6.55,RU,1603481025
Lagoa,39.05,-27.98,65.86,76,0,20.02,PT,1603481156
Salinópolis,-0.61,-47.36,82.49,71,44,12.17,BR,1603481535
Gejiu,23.31,103.16,48.56,78,79,1.52,CN,1603481569
Atuona,-9.8,-139.03,77.81,76,30,20.29,PF,1603481072
Mahébourg,-20.41,57.7,75.2,69,75,11.41,MU,1603481072
Castro,-24.79,-50.01,72.27,74,100,6.11,BR,1603480972
Talnakh,69.49,88.4,-2.2,84,40,8.95,RU,1603481570
Clyde River,70.47,-68.59,23.0,73,90,3.36,CA,1603481570
Hermanus,-34.42,19.23,68.0,85,64,7.92,ZA,1603481530
Ilulissat,69.22,-51.1,21.2,67,75,4.7,GL,1603481053
Kununurra,-15.77,128.73,82.4,83,89,6.93,AU,1603481452
New Norfolk,-42.78,147.06,52.0,70,100,1.01,AU,1603481571
Punta Arenas,-53.15,-70.92,46.4,70,75,6.93,CL,1603481571
Iqaluit,63.75,-68.51,30.2,80,90,2.24,CA,1603481066
Torbay,47.67,-52.73,44.6,75,75,9.17,CA,1603481069
Cairns,-16.92,145.77,75.2,83,90,4.7,AU,1603481516
Yellowknife,62.46,-114.35,26.01,73,20,8.05,CA,1603481064
Hithadhoo,-0.6,73.08,82.78,78,57,12.97,MV,1603481573
Moberly,39.42,-92.44,42.01,85,100,4.0,US,1603481517
North Bend,43.41,-124.22,66.99,54,1,3.36,US,1603481573
Fairbanks,64.84,-147.72,21.0,84,1,4.38,US,1603481354
Walvis Bay,-22.96,14.51,61.0,77,100,8.05,NA,1603481574
Uglovoye,44.82,33.6,61.5,86,1,13.24,UA,1603481574
Saint George,37.1,-113.58,62.6,18,1,4.7,US,1603481435
Kawalu,-7.38,108.21,72.28,91,97,1.34,ID,1603481574
East London,-33.02,27.91,69.8,88,99,5.82,ZA,1603481574
Jalu,29.03,21.55,68.18,62,32,12.62,LY,1603481575
Sayansk,54.11,102.16,37.89,90,100,5.3,RU,1603481575
Ribeira Grande,38.52,-28.7,68.0,72,75,14.99,PT,1603481575
Casa Grande,32.88,-111.76,90.0,27,1,5.82,US,1603481533
Rancho Grande,-23.51,-46.36,78.8,57,0,11.41,BR,1603481575
Yulara,-25.24,130.99,60.8,72,0,10.29,AU,1603481066
Kruisfontein,-34.0,24.73,66.0,86,23,3.0,ZA,1603481576
Praia,14.92,-23.51,80.6,74,40,20.8,CV,1603481576
Mar del Plata,-38.0,-57.56,64.0,82,40,9.17,AR,1603481570
Lavrentiya,65.58,-171.0,33.31,90,100,6.8,RU,1603481576
Loandjili,-4.76,11.86,77.5,84,71,13.11,CG,1603481575
Mayskiy,47.69,40.1,55.4,93,0,6.71,RU,1603481577
Mackay,-21.15,149.2,75.2,83,97,6.93,AU,1603481577
Coruripe,-10.13,-36.18,79.54,72,0,10.63,BR,1603481577
Bluff,-46.6,168.33,60.01,66,93,7.0,NZ,1603481578
Ushuaia,-54.8,-68.3,48.2,57,40,11.41,AR,1603480861
Ajdabiya,30.76,20.23,70.11,69,0,11.63,LY,1603481578
Pisco,-13.7,-76.22,71.6,60,0,16.11,PE,1603481469
Gijang,35.24,129.21,46.4,51,0,8.05,KR,1603481578
Alyangula,-13.85,136.42,80.6,83,95,6.93,AU,1603481578
Goya,-29.14,-59.26,83.73,72,99,8.19,AR,1603481579
Coahuayana Viejo,18.73,-103.68,84.2,74,75,5.88,MX,1603481579
Lüderitz,-26.65,15.16,60.89,79,0,4.41,NA,1603481071
Barrow,71.29,-156.79,32.0,98,90,8.05,US,1603481196
Kahului,20.89,-156.47,87.8,48,20,0.92,US,1603481579
Greymouth,-42.47,171.2,50.63,78,32,5.88,NZ,1603481579
Virginia Beach,36.85,-75.98,75.0,69,75,9.17,US,1603481372
Bilibino,68.05,166.44,16.59,90,99,0.74,RU,1603481580
Hobart,-42.88,147.33,52.0,93,90,3.4,AU,1603480986
Vila Franca do Campo,37.72,-25.43,66.2,72,40,13.87,PT,1603481580
Ngunguru,-35.62,174.5,61.0,97,12,6.69,NZ,1603481580
Aljezur,37.32,-8.8,58.95,81,0,6.93,PT,1603481580
Massakory,13.0,15.73,89.02,12,100,11.07,TD,1603481581
Kumul,42.8,93.45,45.36,47,0,1.41,CN,1603481069
Aksay,47.26,39.87,55.4,93,0,6.71,RU,1603481581
At-Bashi,41.17,75.81,30.24,87,57,0.38,KG,1603481581
Kudahuvadhoo,2.67,72.89,81.82,79,0,12.71,MV,1603481581
Mataura,-46.19,168.86,60.01,66,44,7.0,NZ,1603481530
Husavik,66.04,-17.34,42.8,70,75,5.82,IS,1603481161
Sinnamary,5.38,-52.95,84.42,69,1,10.54,GF,1603481464
Chui,-33.7,-53.46,68.76,85,90,6.04,UY,1603481408
Sibut,5.72,19.07,73.76,88,100,2.06,CF,1603481582
Lapeer,43.05,-83.32,75.2,64,90,14.99,US,1603481583
Saint-Philippe,-21.36,55.77,73.4,73,0,8.05,RE,1603481583
Sibolga,1.74,98.78,77.4,81,100,3.22,ID,1603481584
Borogontsy,62.67,131.17,9.91,93,93,7.02,RU,1603481584
Dikson,73.51,80.55,23.68,94,100,13.6,RU,1603481584
Butaritari,3.07,172.79,81.93,74,100,13.53,KI,1603481584
Bredasdorp,-34.53,20.04,64.4,88,20,3.36,ZA,1603481163
Bandarbeyla,9.49,50.81,77.52,78,100,3.31,SO,1603481585
Nchelenge,-9.35,28.73,77.14,63,38,6.53,ZM,1603481585
Mangai,-4.05,19.53,71.76,95,86,0.83,CD,1603481585
Katsuura,35.13,140.3,64.4,55,75,16.11,JP,1603481531
Sola,-13.88,167.55,77.0,94,75,4.7,VU,1603481585
Te Anau,-45.42,167.72,52.09,78,100,6.35,NZ,1603481480
Caucayá,-0.19,-74.78,92.39,44,90,2.15,CO,1603481586
Gigmoto,13.78,124.39,79.57,81,96,4.74,PH,1603481586
Busselton,-33.65,115.33,54.0,41,0,12.88,AU,1603481152
Ouricuri,-7.88,-40.08,94.77,20,16,5.77,BR,1603481586
Carnarvon,-24.87,113.63,68.0,64,0,12.75,AU,1603481400
Nantai,40.92,122.8,35.62,72,0,4.16,CN,1603481586
Tuktoyaktuk,69.45,-133.04,23.0,92,75,9.17,CA,1603481470
Margate,51.38,1.39,55.0,84,66,1.99,GB,1603481409
Rikitea,-23.12,-134.97,74.32,77,20,7.05,PF,1603481531
Atar,20.52,-13.05,90.61,19,98,8.95,MR,1603481587
Thompson,55.74,-97.86,23.0,67,75,12.75,CA,1603481587
Mountain Home,43.13,-115.69,46.4,24,1,12.75,US,1603481462
Longyearbyen,78.22,15.64,17.6,78,20,3.36,SJ,1603481588
Manzanillo,20.34,-77.12,79.7,80,94,6.49,CU,1603481588
Saskylakh,71.92,114.08,19.11,97,100,4.79,RU,1603481588
Visnes,59.36,5.22,48.99,93,75,13.87,NO,1603481588
Ponta do Sol,32.67,-17.1,68.0,60,40,5.82,PT,1603481589
Artyom,40.47,50.33,51.8,93,20,2.24,AZ,1603481590
Portland,45.52,-122.68,48.0,65,90,8.05,US,1603481302
Jamestown,42.1,-79.24,75.99,47,40,12.75,US,1603481191
Tasiilaq,65.61,-37.64,37.4,40,75,11.41,GL,1603481472
Manjacaze,-24.71,33.88,65.79,93,0,4.16,MZ,1603481591
Lentekhi,42.79,42.73,54.73,44,0,4.72,GE,1603481591
Erdaojiang,41.78,126.03,29.93,85,0,2.84,CN,1603481591
Kisláng,46.96,18.39,59.0,76,100,4.0,HU,1603481592
Yumen,40.28,97.2,37.17,64,0,6.44,CN,1603481592
Constitución,-35.33,-72.42,58.95,59,0,15.26,CL,1603481592
Chubbuck,42.92,-112.47,44.01,28,1,3.36,US,1603481592
Mitsamiouli,-11.38,43.28,79.41,75,16,5.73,KM,1603481592
Loikaw,19.67,97.21,65.39,94,100,1.07,MM,1603481593
Fortuna,40.6,-124.16,57.2,58,1,8.05,US,1603480983
Grants,35.15,-107.85,68.0,20,1,13.29,US,1603481443
Ayan,56.45,138.17,33.01,91,100,17.98,RU,1603481594
Albany,42.6,-73.97,75.0,66,96,4.0,US,1603481527
Chokurdakh,70.63,147.92,6.4,91,85,6.85,RU,1603481001
Qaanaaq,77.48,-69.36,19.38,93,96,8.21,GL,1603481025
Provideniya,64.38,-173.3,33.33,92,99,13.58,RU,1603481594
Puerto Ayora,-0.74,-90.35,78.8,74,40,21.92,EC,1603481594
Hilo,19.73,-155.09,82.4,61,1,6.98,US,1603481153
Karacabey,40.22,28.4,60.8,87,0,2.24,TR,1603481595
Port Alfred,-33.59,26.89,69.93,76,55,17.49,ZA,1603481595
Turukhansk,65.82,87.98,9.18,96,97,7.96,RU,1603481595
Raipur,21.23,81.63,72.48,60,2,5.53,IN,1603481595
Saldanha,-33.01,17.94,60.8,82,18,3.36,ZA,1603481595
San Patricio,28.02,-97.52,90.0,62,40,3.36,US,1603481596
Cape Town,-33.93,18.42,64.99,93,20,5.82,ZA,1603481596
Narsaq,60.92,-46.05,28.4,74,75,2.24,GL,1603481596
Hargeisa,9.56,44.06,70.02,40,13,5.75,SO,1603481596
Aripuanã,-9.17,-60.63,89.28,52,99,4.5,BR,1603481596
Horsham,51.06,-0.33,53.6,93,75,8.05,GB,1603481597
Hambantota,6.12,81.12,78.8,88,0,4.7,LK,1603481597
Saucillo,28.02,-105.28,85.8,18,0,3.02,MX,1603481598
College,64.86,-147.8,21.0,77,75,4.05,US,1603481515
Mount Isa,-20.73,139.5,66.2,93,0,1.12,AU,1603481598
Avarua,-21.21,-159.78,75.2,73,69,14.99,CK,1603481599
Codrington,-38.27,141.97,49.42,85,97,11.27,AU,1603481599
Chone,-0.68,-80.1,82.72,60,99,8.61,EC,1603481600
Mangan,27.52,88.53,67.39,26,0,5.61,IN,1603481600
Spokane,47.62,-117.37,33.8,86,90,3.36,US,1603481601
Arraial do Cabo,-22.97,-42.03,77.0,65,0,21.92,BR,1603481601
Souillac,-20.52,57.52,75.2,69,75,11.41,MU,1603481070
Belgrade,44.8,20.47,55.4,82,100,1.97,RS,1603481362
Zhigansk,66.77,123.37,26.13,98,100,29.42,RU,1603481601
Sambava,-14.27,50.17,72.73,81,3,10.74,MG,1603481601
Vardø,70.37,31.11,39.2,80,75,32.21,NO,1603481602
Nelson Bay,-32.72,152.15,69.01,93,40,5.82,AU,1603481602
Hong Kong,22.29,114.16,75.0,55,100,8.99,HK,1603481089
Bulawayo,-20.15,28.58,69.35,46,0,7.0,ZW,1603481602
Kavaratti,10.57,72.64,80.56,76,100,12.84,IN,1603481602
Cherskiy,68.75,161.3,16.41,94,30,3.56,RU,1603481603
Kandrian,-6.22,149.55,76.8,83,86,5.57,PG,1603481181
Kalmunai,7.42,81.82,77.79,77,69,3.62,LK,1603481603
Bathsheba,13.22,-59.52,87.8,66,40,24.16,BB,1603481603
Miyako,39.64,141.95,49.06,70,0,6.87,JP,1603481603
Bafoulabé,13.81,-10.83,87.62,24,0,2.62,ML,1603481603
Nikolskoye,59.7,30.79,44.6,87,90,17.9,RU,1603481070
Lompoc,34.64,-120.46,68.0,68,90,5.82,US,1603480951
Port Lincoln,-34.73,135.87,54.19,79,95,15.41,AU,1603481605
Yangi Marg`ilon,40.43,71.72,44.6,75,94,4.7,UZ,1603481572
Torrington,41.8,-73.12,66.99,92,100,1.99,US,1603481605
Tateyama,34.98,139.87,62.01,60,68,3.0,JP,1603481605
Meulaboh,4.14,96.13,77.7,87,99,3.56,ID,1603481606
Pyapon,16.28,95.68,76.64,90,100,4.23,MM,1603481606
Imbituba,-28.24,-48.67,77.0,69,20,13.87,BR,1603481606
Frejlev,57.01,9.82,50.0,94,97,1.99,DK,1603481606
Comodoro Rivadavia,-45.87,-67.5,69.8,35,75,8.05,AR,1603481606
Bonavista,48.65,-53.11,44.01,74,69,1.99,CA,1603481463
Mayahi,13.96,7.67,88.07,13,0,10.09,NE,1603481607
San Jerónimo,-11.95,-75.28,65.05,40,55,8.86,PE,1603481607
Nome,64.5,-165.41,30.2,86,90,14.99,US,1603481607
Upernavik,72.79,-56.15,21.94,94,100,8.39,GL,1603481535
Baykit,61.67,96.37,26.67,96,100,2.26,RU,1603481608
Hammerfest,70.66,23.68,35.6,93,75,35.57,NO,1603481608
São José do Egito,-7.48,-37.27,84.78,43,100,11.83,BR,1603481608
Srednekolymsk,67.45,153.68,14.77,91,0,3.22,RU,1603481608
Wakkanai,45.41,141.67,47.77,76,100,39.24,JP,1603481608
Hatillo,18.49,-66.83,89.01,70,40,14.99,PR,1603481608
Pokhara,28.23,83.98,65.8,27,0,5.41,NP,1603481608
Nouadhibou,20.93,-17.03,75.2,64,38,14.99,MR,1603481609
Sulangan,11.14,123.72,79.59,85,100,12.24,PH,1603481609
Polson,47.69,-114.16,28.0,64,100,2.35,US,1603481609
Huadian,42.96,126.75,30.27,85,0,9.75,CN,1603481609
Nizhniy Kuranakh,58.84,125.49,17.83,93,29,1.01,RU,1603481609
High Level,58.52,-117.14,24.8,68,40,5.82,CA,1603481610
Zhezkazgan,47.8,67.71,28.98,85,0,7.54,KZ,1603481610
Saint-Leu,-21.15,55.28,73.4,73,0,8.05,RE,1603481610
Ha Giang,22.83,104.98,62.28,62,100,2.89,VN,1603481610
Rongcheng,30.63,117.85,48.56,59,19,3.67,CN,1603481610
Bubaque,11.28,-15.83,84.31,76,0,8.9,GW,1603481610
Shīeli,44.17,66.75,34.41,73,93,5.35,KZ,1603481611
Broome,42.25,-75.83,75.99,56,75,14.99,US,1603480984
Kaitangata,-46.28,169.85,54.52,72,22,4.43,NZ,1603481611
Buta,2.79,24.73,71.37,89,100,1.74,CD,1603481612
Labuhan,-6.88,112.21,79.14,83,0,7.11,ID,1603481612
Ceres,37.59,-120.96,73.0,21,1,9.17,US,1603481488
Pirgos,35.12,25.72,70.0,71,1,11.01,GR,1603481612
Grindavik,63.84,-22.43,44.6,87,75,23.04,IS,1603481612
Salalah,17.02,54.09,78.8,39,0,3.36,OM,1603481613
Richards Bay,-28.78,32.04,69.03,84,8,9.4,ZA,1603481613
San Antonio,29.42,-98.49,88.0,48,75,5.82,US,1603481563
Tongchuanshi,35.08,109.09,48.56,51,82,5.41,CN,1603481613
Rūdbār,30.15,62.6,57.22,35,0,11.48,AF,1603481614
Gwadar,25.12,62.33,78.84,34,0,10.78,PK,1603481614
Tura,25.52,90.22,70.23,99,100,4.88,IN,1603481614
Ancud,-41.87,-73.82,57.99,76,75,16.11,CL,1603481614
Coolum Beach,-26.53,153.1,70.0,94,99,1.01,AU,1603481614
Severo-Kuril'sk,50.68,156.12,44.92,80,100,27.58,RU,1603481615
Si Racha,13.17,100.93,82.99,52,100,7.92,TH,1603481615
Verkhotur'ye,58.86,60.81,20.86,96,0,4.65,RU,1603481615
Nuuk,64.18,-51.72,30.2,68,75,5.82,GL,1603481615
Altay,47.87,88.12,42.55,63,100,2.04,CN,1603481616
Ambilobe,-13.2,49.05,74.73,63,1,8.68,MG,1603481197
Sitka,57.05,-135.33,39.2,38,1,3.36,US,1603481158
Saint Paul Harbor,57.79,-152.41,44.6,93,90,25.28,US,1603481408
Vágur,61.47,-6.81,48.42,81,22,15.9,FO,1603481617
Avera,33.19,-82.53,80.6,61,75,3.36,US,1603481155
Magistral'nyy,56.17,107.45,36.97,93,100,2.68,RU,1603481617
Condado,21.88,-79.84,84.2,74,75,4.7,CU,1603481617
Dingle,11.0,122.67,75.94,93,100,4.63,PH,1603481617
São João da Barra,-21.64,-41.05,80.6,51,0,13.87,BR,1603481618
Cap Malheureux,-19.98,57.61,73.99,71,47,5.01,MU,1603481618
Coyhaique,-45.58,-72.07,60.8,44,90,9.17,CL,1603481618
Tuatapere,-46.13,167.68,60.01,66,100,7.0,NZ,1603481618
Tiksi,71.69,128.87,22.21,95,100,11.36,RU,1603481409
Strezhevoy,60.73,77.59,14.0,92,0,3.78,RU,1603481618
Flinders,-34.58,150.86,66.0,93,100,1.01,AU,1603481201
Bethel,41.37,-73.41,64.4,88,90,6.93,US,1603480987
Khuzdar,27.74,66.64,58.14,32,0,7.16,PK,1603481619
Tual,-5.67,132.75,81.9,83,35,11.48,ID,1603481202
Pundaguitan,6.37,126.17,81.81,76,100,9.51,PH,1603481619
Unaí,-16.36,-46.91,77.94,71,87,4.21,BR,1603481620
Rawson,-43.3,-65.1,87.8,19,40,17.22,AR,1603481620
Sur,22.57,59.53,73.35,64,0,6.55,OM,1603481620
Arlit,18.74,7.39,85.6,12,0,16.6,NE,1603481620
Belyy Yar,53.6,91.39,30.2,92,100,3.69,RU,1603481620
Bengkulu,-3.8,102.27,76.03,89,100,3.47,ID,1603481620
Isil'kul',54.91,71.27,24.48,91,89,10.98,RU,1603481621
Bira,49.0,132.47,36.21,78,100,8.34,RU,1603481621
George Town,5.41,100.34,80.6,94,20,4.7,MY,1603481415
Punta Alta,-38.88,-62.07,70.45,55,0,13.09,AR,1603481621
Faranah,10.04,-10.74,72.63,87,23,5.46,GN,1603481622
Matara,5.95,80.54,77.56,89,1,7.92,LK,1603481568
Valparaíso,-33.04,-71.63,59.0,72,0,9.17,CL,1603481622
Apalit,14.95,120.78,80.6,94,75,2.24,PH,1603481622
Usinsk,65.99,57.53,18.79,96,16,11.1,RU,1603481623
Mariinsk,56.21,87.75,31.03,93,0,7.92,RU,1603481623
Bangassou,4.74,22.82,71.02,94,100,0.83,CF,1603481623
Umarkot,25.36,69.74,80.46,34,0,9.06,PK,1603481623
Geraldton,-28.77,114.6,53.6,76,0,8.05,AU,1603481624
Qasigiannguit,68.82,-51.19,21.2,67,75,4.7,GL,1603481624
Muros,42.78,-9.06,59.0,85,91,13.0,ES,1603481624
Chardara,41.25,67.97,46.4,55,97,7.9,KZ,1603481527
Kailahun,8.28,-10.57,73.2,88,39,1.97,SL,1603481625
Hirado,33.36,129.55,55.0,36,59,18.86,JP,1603481625
Takapau,-40.03,176.35,57.99,82,0,1.97,NZ,1603481625
Bud,39.45,-86.18,75.2,73,94,12.75,US,1603481578
Port Elizabeth,-33.92,25.57,68.0,88,12,12.75,ZA,1603481625
Lodja,-3.48,23.43,70.83,95,4,2.13,CD,1603481625
Bahir Dar,11.59,37.39,61.72,76,17,3.58,ET,1603481626
Northam,51.03,-4.22,52.0,84,51,5.01,GB,1603481626
Craig,40.52,-107.55,35.6,54,1,2.82,US,1603481626
Povenets,62.85,34.83,40.35,95,100,5.77,RU,1603481626
Lata,40.16,-8.33,59.0,80,11,0.58,PT,1603481626
Alice Springs,-23.7,133.88,60.8,59,0,4.7,AU,1603481627
Banjar,-8.19,114.97,77.0,88,40,1.12,ID,1603481152
Mil'kovo,54.72,158.62,30.31,96,100,0.45,RU,1603481627
San Policarpo,12.18,125.51,77.88,86,90,7.81,PH,1603481627
Kīhei,20.79,-156.47,87.8,48,20,3.02,US,1603481627
Pangnirtung,66.15,-65.71,26.6,92,90,2.24,CA,1603481627
Orcopampa,-15.27,-72.34,57.94,36,58,13.02,PE,1603481628
Thessalon,46.25,-83.57,41.0,93,90,6.93,CA,1603481628
Svecha,58.28,47.52,38.19,98,100,7.29,RU,1603481628
Mercedes,-34.65,-59.43,73.0,79,73,1.01,AR,1603481628
Laguna,38.42,-121.42,73.0,17,1,6.93,US,1603481499
Lorengau,-2.02,147.27,81.36,69,25,3.98,PG,1603481406
Tingo María,-9.29,-76.01,87.8,55,20,3.36,PE,1603481629
Lamin,13.35,-16.43,84.2,79,75,9.69,GM,1603481629
Quiruvilca,-7.97,-78.2,47.86,76,96,1.9,PE,1603481629
Samarai,-10.62,150.67,80.28,84,95,7.23,PG,1603481629
