City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Port Hardy,50.7,-127.42,42.8,93,90,20.8,CA,1603481629
San Jose,37.34,-121.89,72.0,52,40,3.36,US,1603481448
Ondjiva,-17.07,15.73,84.74,22,67,2.46,AO,1603481630
Leningradskiy,69.38,178.42,22.69,90,0,4.76,RU,1603481630
Douentza,15.0,-2.95,90.77,11,0,8.23,ML,1603481631
Sohbatpur,28.52,68.54,72.37,18,0,7.09,PK,1603481542
Kuandian,40.73,124.78,30.58,85,0,3.04,CN,1603481632
Selikhino,50.37,137.5,39.13,90,100,23.31,RU,1603481632
Xai-Xai,-25.05,33.64,69.33,85,0,6.44,MZ,1603481633
Samoylovka,51.18,43.71,55.72,75,100,10.13,RU,1603481633
Antofagasta,-23.65,-70.4,62.6,67,20,13.87,CL,1603481633
Twin Falls,42.35,-114.64,46.4,31,1,9.17,US,1603481633
Saint-Pierre,-21.34,55.48,73.4,73,0,8.05,RE,1603481633
Bacungan,9.91,118.7,77.0,94,90,4.7,PH,1603481634
Tamandaré,-8.76,-35.1,79.0,78,1,9.19,BR,1603481634
Inírida,3.87,-67.92,82.78,70,98,4.43,CO,1603481634
General Cepeda,25.38,-101.45,84.2,37,5,5.82,MX,1603481634
Abeokuta,7.15,3.35,82.4,83,20,3.36,NG,1603481634
São Filipe,14.9,-24.5,80.49,76,23,13.91,CV,1603481634
Uíge,-7.61,15.06,69.48,93,100,3.51,AO,1603481635
Jambi City,-1.6,103.62,74.61,94,100,0.67,ID,1603481595
Rome,43.21,-75.46,78.8,50,1,12.75,US,1603481525
Aniva,46.71,142.53,46.4,75,75,11.18,RU,1603481635
Fort Nelson,58.81,-122.7,26.6,45,75,6.93,CA,1603481402
Ahipara,-35.17,173.17,63.05,86,76,6.26,NZ,1603481469
Uporovo,56.31,66.27,23.34,90,0,5.5,RU,1603481636
La Rioja,42.25,-2.5,53.6,71,0,3.36,ES,1603481636
Sabha,27.04,14.43,69.21,24,0,7.67,LY,1603481636
Inverness,57.48,-4.22,41.0,86,20,8.05,GB,1603481637
Kieta,-6.22,155.63,79.43,75,20,2.71,PG,1603481637
San Juan Evangelista,17.9,-95.13,87.8,62,75,11.41,MX,1603481637
Dogondoutchi,13.64,4.03,90.05,12,0,7.96,NE,1603481638
Iquitos,-3.75,-73.25,89.6,62,75,3.36,PE,1603481535
Moshenskoye,58.51,34.59,48.0,88,89,12.03,RU,1603481638
Smoky Lake,54.12,-112.47,19.99,86,29,4.0,CA,1603481638
Sakakah,29.97,40.21,69.8,15,0,4.7,SA,1603481638
Honningsvåg,70.98,25.97,39.2,80,75,32.21,NO,1603481639
Mékhé,15.11,-16.62,96.8,39,0,12.41,SN,1603481639
Ikwiriri,-7.96,38.97,75.0,89,100,4.41,TZ,1603481639
Solnechnyy,50.72,136.63,28.27,96,100,21.45,RU,1603481639
Masvingo,-20.06,30.83,67.1,62,0,4.9,ZW,1603481639
Pedernales,18.04,-71.74,87.8,74,20,13.87,DO,1603481640
Mehrān,33.12,46.16,62.6,17,0,2.24,IR,1603481640
Linhares,-19.39,-40.07,73.9,80,98,6.42,BR,1603481640
The Valley,18.22,-63.06,87.8,83,20,13.87,AI,1603481640
Antigonish,45.62,-62.0,53.01,62,24,4.0,CA,1603481640
Raudeberg,61.99,5.14,44.01,71,100,11.9,NO,1603481641
Saint-Junien,45.88,0.9,54.0,93,75,6.93,FR,1603481641
Beyneu,45.32,55.2,39.74,67,8,11.56,KZ,1603481533
Remiremont,48.02,6.59,57.2,93,98,3.36,FR,1603481641
Krasnoarmeysk,51.02,45.7,53.01,68,100,1.99,RU,1603481641
Goth Phulji,26.88,67.68,70.95,20,0,2.06,PK,1603481641
Hasaki,35.73,140.83,59.0,87,75,4.7,JP,1603481632
Nampula,-15.12,39.27,73.4,78,0,10.29,MZ,1603481642
Norman Wells,65.28,-126.83,28.4,92,75,9.17,CA,1603481643
Sittwe,20.15,92.9,80.92,85,100,19.1,MM,1603481643
Gävle,60.67,17.14,28.99,96,0,3.0,SE,1603481643
Nago,26.59,127.98,68.0,60,1,9.17,JP,1603481065
Barabai,-2.58,115.38,74.41,83,79,1.14,ID,1603481643
Auki,-8.77,160.7,78.84,79,62,4.23,SB,1603481644
Pitimbu,-7.47,-34.81,82.4,74,40,16.11,BR,1603481644
Vila Velha,-20.33,-40.29,71.6,88,90,6.93,BR,1603481644
Almaznyy,48.04,40.05,55.4,93,0,6.71,RU,1603481644
Bambous Virieux,-20.34,57.76,75.2,69,75,11.41,MU,1603481644
Felipe Carrillo Puerto,19.58,-88.05,85.71,86,85,2.08,MX,1603481644
Bajil,15.06,43.29,87.1,53,0,2.39,YE,1603481644
Isangel,-19.55,169.27,76.46,79,49,9.66,VU,1603481645
Kirakira,-10.45,161.92,79.77,79,21,6.33,SB,1603481645
Itupiranga,-5.13,-49.33,95.0,47,40,4.7,BR,1603481645
Pangani,-5.43,38.97,77.76,84,100,5.37,TZ,1603481645
Tilichiki,60.47,166.1,29.14,97,0,5.59,RU,1603481645
Elbistan,38.21,37.2,51.06,59,0,1.59,TR,1603481645
Finschhafen,-6.6,147.87,79.0,79,88,10.38,PG,1603481646
Guerrero Negro,27.98,-114.06,73.76,57,50,13.44,MX,1603481612
Xinzhou,38.41,112.73,41.34,55,0,0.92,CN,1603481646
Half Moon Bay,37.46,-122.43,69.01,68,1,5.82,US,1603481561
Vieques,18.43,-65.83,89.6,70,20,17.22,PR,1603481646
Stavroleushkovskaya,45.99,39.76,57.0,72,0,6.71,RU,1603481646
Pajapan,18.25,-94.7,87.8,62,75,11.41,MX,1603481647
Khartoum,15.55,32.53,91.4,18,0,4.7,SD,1603481555
Matagami,49.75,-77.63,32.0,97,90,9.17,CA,1603481647
Abengourou,6.73,-3.5,72.57,96,57,1.52,CI,1603481647
Coquimbo,-29.95,-71.34,59.0,72,75,12.75,CL,1603481306
Thabazimbi,-24.59,27.41,80.35,27,0,0.54,ZA,1603481647
Adrar,20.5,-10.07,89.91,13,22,2.8,MR,1603481648
Patnāgarh,20.72,83.15,71.33,73,85,2.95,IN,1603481648
County Wicklow,53.0,-6.42,46.99,81,0,9.17,IE,1603481648
Koumac,-20.57,164.28,75.94,74,0,5.39,NC,1603481577
Teguise,29.06,-13.56,71.6,64,20,12.75,ES,1603481648
Faanui,-16.48,-151.75,78.48,78,15,12.97,PF,1603481628
Tselinnoye,53.08,85.67,34.2,91,100,8.23,RU,1603481649
Hay River,60.82,-115.8,23.0,85,75,12.75,CA,1603481649
Makīnsk,52.63,70.42,21.88,92,6,9.08,KZ,1603481649
Havre-St-Pierre,50.23,-63.6,39.2,48,90,6.93,CA,1603481649
Leshukonskoye,64.9,45.76,27.79,98,100,10.74,RU,1603481649
Nanortalik,60.14,-45.24,34.3,85,98,4.14,GL,1603481650
Luganville,-15.53,167.17,75.2,94,75,4.9,VU,1603481650
Jiuquan,39.74,98.52,37.36,64,0,0.67,CN,1603481650
Allāpalli,19.42,80.07,70.56,79,15,2.1,IN,1603481650
Krasnyy Chikoy,50.36,108.75,30.2,92,0,1.41,RU,1603481650
Opuwo,-18.06,13.84,70.34,46,15,6.17,NA,1603481651
Darnah,32.77,22.64,70.77,70,6,15.41,LY,1603481651
Kwidzyn,53.72,18.93,55.0,86,98,4.32,PL,1603481651
Corn Island,12.17,-83.04,82.49,73,79,1.66,NI,1603481651
Chul'man,56.85,124.91,8.74,92,0,1.77,RU,1603481652
Vanimo,-2.67,141.3,77.47,84,69,3.44,PG,1603481652
Kloulklubed,7.04,134.26,83.5,73,78,11.05,PW,1603481652
Nemuro,43.32,145.57,54.57,74,0,22.95,JP,1603481652
Yar-Sale,66.83,70.83,19.69,94,84,8.84,RU,1603481652
Ruidoso,33.33,-105.67,55.0,52,1,13.87,US,1603481652
Morant Bay,17.88,-76.41,81.0,94,75,9.17,JM,1603481653
Oistins,13.07,-59.53,87.8,66,40,24.16,BB,1603481653
‘Āhuimanu,21.44,-157.84,82.4,88,75,4.7,US,1603481653
Maxixe,-23.86,35.35,73.4,73,20,3.36,MZ,1603481653
Naze,28.37,129.48,69.8,60,40,17.22,JP,1603481245
Misratah,32.38,15.09,70.97,56,0,8.41,LY,1603481653
Rubik,41.77,19.79,53.6,93,0,3.36,AL,1603481654
Texarkana,33.43,-94.05,77.0,65,1,8.05,US,1603481654
Yerbogachën,61.28,108.01,26.1,97,100,4.88,RU,1603481654
Nyalikungu,-3.18,33.78,75.72,59,49,7.05,TZ,1603481654
Sabla,12.75,4.71,84.42,15,0,6.17,NG,1603481655
Dawei,14.08,98.2,73.65,88,100,3.76,MM,1603481655
Timmins,48.47,-81.33,32.0,98,90,13.87,CA,1603481611
Baisha,26.52,110.93,55.6,76,84,1.16,CN,1603481655
Nishihara,26.18,127.76,69.8,60,40,17.22,JP,1603481629
Asău,46.43,26.4,50.0,84,43,5.99,RO,1603481655
Demyansk,57.64,32.47,50.47,81,100,12.88,RU,1603481656
Paamiut,61.99,-49.67,32.79,87,52,25.28,GL,1603481656
Heishan,41.69,122.11,38.46,66,0,6.42,CN,1603481656
Makakilo City,21.35,-158.09,82.4,74,40,10.29,US,1603481656
Katobu,-4.94,122.53,76.06,90,0,2.46,ID,1603481657
Beloha,-25.17,45.05,72.97,75,100,13.87,MG,1603481531
Kayerkan,69.35,87.76,-2.2,84,40,8.95,RU,1603481657
Mandalgovi,45.76,106.27,34.97,67,100,3.98,MN,1603481657
Ekimchan,53.07,132.97,20.55,92,85,5.68,RU,1603481658
Lesnoye,58.28,35.52,48.72,84,86,10.71,RU,1603481658
Murud,18.33,72.97,78.42,87,100,3.0,IN,1603481658
Jacareacanga,-6.22,-57.75,88.66,59,100,3.6,BR,1603481658
Nisibis,37.08,41.22,66.2,19,0,9.17,TR,1603481658
Parabel',58.7,81.48,29.46,99,100,2.86,RU,1603481659
Olot,42.18,2.49,55.0,77,3,1.99,ES,1603481659
Sistranda,63.73,8.83,35.6,65,0,9.17,NO,1603481659
Beipiao,41.79,120.78,36.81,71,0,2.91,CN,1603481659
Mtama,-10.3,39.37,74.07,82,26,3.13,TZ,1603481659
Leh,34.17,77.58,33.89,67,0,3.91,IN,1603481660
Olafsvik,64.89,-23.71,44.31,80,89,26.06,IS,1603481532
Batticaloa,7.71,81.69,77.29,76,88,8.14,LK,1603481660
The Pas,53.83,-101.25,26.6,68,90,14.99,CA,1603481660
La Ronge,55.1,-105.28,24.8,62,90,12.75,CA,1603481661
Pevek,69.7,170.31,26.58,95,56,12.41,RU,1603481403
Caceres,39.52,-6.37,57.0,75,1,2.24,ES,1603481661
Defiance,41.33,-84.45,77.0,61,75,16.11,US,1603481661
Chernyshevskiy,63.01,112.47,20.14,96,3,7.81,RU,1603481662
Aleksandrovsk,59.16,57.56,16.0,80,85,6.87,RU,1603481662
Maniitsoq,65.42,-52.9,29.71,85,73,7.07,GL,1603481662
Pyaozerskiy,65.83,31.17,26.82,96,78,8.32,RU,1603481662
Pimentel,-6.84,-79.93,69.8,64,0,14.99,PE,1603481663
Svetlaya,46.54,138.33,39.34,73,100,11.36,RU,1603481663
Numata,36.63,139.05,51.01,86,10,10.0,JP,1603481663
Beringovskiy,63.05,179.32,33.39,92,100,21.36,RU,1603481663
Padang,-0.95,100.35,79.83,77,100,3.09,ID,1603481216
Mehamn,71.04,27.85,37.4,86,75,24.16,NO,1603481664
Tulum,20.22,-87.47,87.8,70,75,3.36,MX,1603481664
Sovetskaya,44.78,41.17,54.32,41,0,4.59,RU,1603481664
Palmital,-22.79,-50.22,83.19,49,98,6.51,BR,1603481664
Arman',59.7,150.17,37.22,84,100,8.3,RU,1603481665
Terney,45.05,136.61,36.63,77,100,12.39,RU,1603481665
Dargaville,-35.93,173.88,61.93,90,25,5.3,NZ,1603481665
Nador,35.17,-2.93,68.0,68,0,2.24,MA,1603481402
Kataysk,56.29,62.58,24.84,91,0,5.01,RU,1603481665
Mirny,62.54,113.96,30.2,68,75,11.18,RU,1603481665
Ispravnaya,44.07,41.61,51.62,40,0,5.21,RU,1603481666
Omboué,-1.57,9.26,76.98,89,100,6.93,GA,1603481666
Wiarton,44.74,-81.13,73.0,73,75,13.87,CA,1603481666
Boyolangu,-8.12,111.89,75.7,89,33,3.38,ID,1603481666
Los Llanos de Aridane,28.66,-17.92,71.6,56,40,8.05,ES,1603481666
Mattru,7.62,-11.83,75.52,94,100,2.57,SL,1603481667
Lipniţa,44.1,27.6,59.0,66,5,4.7,RO,1603481667
Berlevåg,70.86,29.09,37.4,86,75,38.03,NO,1603481118
Hervey Bay,-25.3,152.85,75.0,78,75,8.05,AU,1603481667
Horn,51.87,8.95,53.01,96,26,9.71,DE,1603481667
Ranong,9.97,98.63,76.39,84,97,3.47,TH,1603481668
Chippewa Falls,44.94,-91.39,37.99,98,90,13.87,US,1603481668
Sidrolândia,-20.93,-54.96,77.0,73,75,9.17,BR,1603481668
Zafarwal,32.35,74.9,68.0,68,0,3.74,PK,1603481668
Mgandu,-5.95,34.13,69.28,47,12,11.32,TZ,1603481669
Ampanihy,-24.7,44.75,75.78,56,100,1.68,MG,1603481669
Namatanai,-3.67,152.43,79.65,70,0,2.51,PG,1603481629
Helena,46.59,-112.04,28.0,63,90,1.66,US,1603481669
Cabo San Lucas,22.89,-109.91,93.2,66,5,3.36,MX,1603481584
San Quintín,30.48,-115.95,70.45,60,11,12.28,MX,1603481669
Kavieng,-2.57,150.8,82.15,67,21,3.98,PG,1603481670
Sehithwa,-20.47,22.72,77.94,22,4,6.55,BW,1603481670
Moussoro,13.64,16.49,90.05,13,100,13.31,TD,1603481670
Krasnosel'kup,65.7,82.47,15.8,97,89,8.21,RU,1603481670
Altayskoye,51.95,85.33,35.29,90,100,3.04,RU,1603481671
Touros,-5.2,-35.46,77.0,94,40,6.93,BR,1603481671
Wick,58.43,-3.08,42.8,81,0,6.93,GB,1603481671
Shimanovsk,52.0,127.7,26.08,87,0,11.95,RU,1603481671
Bauta,22.98,-82.55,87.8,70,75,10.29,CU,1603481672
Santa Fe,-31.63,-60.7,80.01,73,95,3.0,AR,1603481672
Sagua la Grande,22.81,-80.08,84.2,74,75,6.93,CU,1603481672
Luwuk,-0.95,122.79,77.65,76,6,1.79,ID,1603481672
Hualmay,-11.1,-77.61,68.81,64,68,9.31,PE,1603481160
Saint-Joseph,-21.37,55.62,73.4,73,0,8.05,RE,1603481673
Province of Trapani,37.83,12.67,69.01,88,0,10.29,IT,1603481673
Nantucket,41.28,-70.1,64.4,68,1,11.41,US,1603481673
Ixtapa,20.7,-105.2,88.0,74,5,10.29,MX,1603481673
Praia da Vitória,38.73,-27.07,68.0,77,20,10.96,PT,1603481673
Acapulco de Juárez,16.86,-99.89,86.0,74,75,8.05,MX,1603481609
Elizabeth City,36.29,-76.25,77.0,69,1,10.29,US,1603481477
Severo-Yeniseyskiy,60.37,93.04,27.75,98,99,7.85,RU,1603481674
Xapuri,-10.65,-68.5,98.6,47,40,8.05,BR,1603481674
Tabou,4.42,-7.35,77.56,89,97,5.64,CI,1603481674
Shenjiamen,29.96,122.3,59.45,67,13,16.17,CN,1603481675
Koryazhma,61.31,47.17,32.58,96,100,11.61,RU,1603481675
Beni Mazar,28.5,30.8,70.57,50,0,8.63,EG,1603481675
Aykhal,66.0,111.5,21.2,62,90,13.42,RU,1603481675
Hvide Sande,56.0,8.13,54.0,77,100,5.01,DK,1603481675
Arcos de la Frontera,36.75,-5.81,62.6,82,0,2.24,ES,1603481675
Duyure,13.63,-86.82,80.6,69,75,9.17,HN,1603481676
Mossamedes,-15.2,12.15,71.02,77,99,6.85,AO,1603481676
Bradford,53.79,-1.75,45.0,81,20,8.05,GB,1603481494
Ayabaca,-4.64,-79.71,65.32,64,100,6.91,PE,1603481676
Vao,-22.67,167.48,73.44,87,3,17.45,NC,1603481676
Chinsali,-10.54,32.08,71.17,44,9,8.14,ZM,1603481647
Palmas de Monte Alto,-14.27,-43.16,82.99,51,100,8.97,BR,1603481677
Salé,34.04,-6.82,64.99,82,0,7.9,MA,1603481533
Virtsu,58.57,23.51,44.01,68,98,8.99,EE,1603481677
Merauke,-8.47,140.33,77.67,87,30,10.94,ID,1603481678
San Rafael,-34.62,-68.33,84.88,26,0,9.1,AR,1603481548
Panabá,21.28,-88.27,84.25,82,93,11.12,MX,1603481678
Quepos,9.42,-84.17,78.8,73,75,10.29,CR,1603481552
Charters Towers,-20.1,146.27,71.4,80,100,8.01,AU,1603481678
Seoul,37.57,126.98,44.6,52,1,9.91,KR,1603481408
Cayenne,4.93,-52.33,89.6,55,0,9.17,GF,1603481679
Yeppoon,-23.13,150.73,71.6,83,100,5.82,AU,1603481679
Nouakchott,18.09,-15.98,82.4,69,100,13.87,MR,1603481679
Artsvaberd,40.83,45.47,50.13,72,12,3.38,AM,1603481679
Tres Arroyos,-38.37,-60.28,70.57,62,12,8.01,AR,1603481680
Marshall,34.38,-86.33,80.01,61,40,3.36,US,1603481680
Wawa,9.9,4.42,79.45,45,100,2.68,NG,1603481680
Lewiston,44.1,-70.21,57.99,67,90,8.05,US,1603481571
Neuquén,-38.95,-68.06,80.6,42,0,5.82,AR,1603481417
Ankazoabo,-22.28,44.52,72.07,72,0,5.48,MG,1603481681
Udachny,66.42,112.4,21.2,62,90,13.42,RU,1603481681
Oranjestad,12.52,-70.03,87.8,70,75,18.34,AW,1603481667
Ostrovnoy,68.05,39.51,29.52,97,100,7.52,RU,1603481631
Port-Gentil,-0.72,8.78,73.4,94,40,8.05,GA,1603481681
Springfield,37.22,-93.3,44.01,81,90,14.99,US,1603481635
Vigrestad,58.57,5.7,46.0,95,100,11.05,NO,1603481682
Mocuba,-16.84,36.99,68.23,93,0,2.53,MZ,1603481682
Abonnema,4.71,6.79,78.8,94,75,5.82,NG,1603481682
Sovetskiy,61.36,63.58,22.33,95,0,3.62,RU,1603481682
Vallenar,-28.57,-70.76,79.66,29,0,7.74,CL,1603481683
Ust-Kuyga,70.02,135.6,12.9,94,100,10.02,RU,1603481683
Sayyan,15.17,44.32,53.8,37,6,4.03,YE,1603481683
Araouane,18.9,-3.53,92.75,10,49,5.12,ML,1603481604
Mount Gambier,-37.83,140.77,50.0,87,90,10.29,AU,1603481477
Bandiagara,14.35,-3.61,93.2,46,0,8.61,ML,1603481683
Marsh Harbour,26.54,-77.06,79.41,78,59,17.52,BS,1603481618
Byndoor,13.87,74.63,75.9,89,100,11.41,IN,1603481684
Khovd,48.01,91.64,36.95,68,100,2.51,MN,1603481684
Ponta Delgada,37.73,-25.67,66.2,72,40,13.87,PT,1603481684
Thunder Bay,48.4,-89.32,37.0,51,90,9.17,CA,1603481672
Port Macquarie,-31.43,152.92,66.0,94,100,10.54,AU,1603481474
Shelbyville,35.48,-86.46,82.4,58,75,10.29,US,1603481550
Puerto del Rosario,28.5,-13.86,71.6,64,20,18.34,ES,1603481685
Saint-Augustin,51.23,-58.65,39.45,68,15,4.38,CA,1603481685
Itoman,26.12,127.67,69.8,60,40,17.22,JP,1603481685
Paso de Carrasco,-34.86,-56.05,73.4,68,20,8.05,UY,1603481685
Egvekinot,66.32,-179.17,23.4,94,4,11.16,RU,1603481686
Puerto Quijarro,-17.78,-57.77,98.04,36,99,5.39,BO,1603481686
Ryōtsu-minato,38.08,138.43,53.15,66,29,18.39,JP,1603481631
Cessnock,-32.83,151.35,66.99,97,100,3.76,AU,1603481491
Pueblo Nuevo,23.38,-105.38,76.64,50,0,6.89,MX,1603481687
São Félix do Xingu,-6.64,-51.99,94.55,38,100,6.49,BR,1603481687
Illapel,-31.63,-71.17,73.81,35,14,8.93,CL,1603481687
Buxar,25.58,83.98,75.85,65,29,1.28,IN,1603481687
Marawi,8.0,124.29,73.99,93,100,3.0,PH,1603481687
Flin Flon,54.77,-101.86,24.8,58,75,10.29,CA,1603481688
Bonfim,3.08,-59.95,96.01,38,86,7.07,BR,1603481688
Myitkyina,25.38,97.4,67.89,96,100,2.75,MM,1603481689
Kutum,14.2,24.67,77.09,17,0,12.84,SD,1603481689
Cabedelo,-6.98,-34.83,82.4,74,40,16.11,BR,1603481690
